"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
305,17.20000,-3.2791E-006,1.7134E-008,1.7277E-006,0.000000012,1.7277E-006,0.000000012
306,17.25000,-0.00000326,1.6936E-008,1.7176E-006,1.1816E-008,1.7176E-006,1.1816E-008
307,17.30000,-3.2411E-006,1.674E-008,1.7076E-006,1.168E-008,1.7076E-006,1.168E-008
308,17.35000,-3.2224E-006,1.6548E-008,1.6978E-006,1.1545E-008,1.6978E-006,1.1545E-008
309,17.40000,-3.2038E-006,1.6358E-008,0.000001688,1.1413E-008,0.000001688,1.1413E-008
310,17.45000,-3.1854E-006,1.617E-008,1.6782E-006,1.1282E-008,1.6782E-006,1.1282E-008
311,17.50000,-3.1672E-006,0.000000016,1.6686E-006,1.1153E-008,1.6686E-006,1.1153E-008
312,17.55000,-3.1491E-006,1.5804E-008,1.6591E-006,0.000000011,1.6591E-006,0.000000011
313,17.60000,-3.1311E-006,1.5624E-008,1.6496E-006,1.0901E-008,1.6496E-006,1.0901E-008
314,17.65000,-3.1133E-006,1.5447E-008,1.6402E-006,1.0778E-008,1.6402E-006,1.0778E-008
315,17.70000,-3.0957E-006,1.5273E-008,1.6309E-006,1.0656E-008,1.6309E-006,1.0656E-008
316,17.75000,-3.0782E-006,1.5101E-008,1.6217E-006,1.0536E-008,1.6217E-006,1.0536E-008
317,17.80000,-3.0609E-006,1.4931E-008,1.6125E-006,1.0418E-008,1.6125E-006,1.0418E-008
318,17.85000,-3.0437E-006,1.4764E-008,1.6035E-006,1.0301E-008,1.6035E-006,1.0301E-008
319,17.90000,-3.0266E-006,1.4599E-008,1.5945E-006,1.0186E-008,1.5945E-006,1.0186E-008
320,17.95000,-3.0097E-006,1.4436E-008,1.5856E-006,1.0072E-008,1.5856E-006,1.0072E-008
321,18.00000,-0.000002993,1.4276E-008,1.5767E-006,0.00000001,1.5767E-006,0.00000001
322,18.05000,-2.9763E-006,1.4118E-008,1.5679E-006,9.8502E-009,1.5679E-006,9.8502E-009
323,18.10000,-2.9598E-006,0.000000014,1.5592E-006,9.7414E-009,1.5592E-006,9.7414E-009
324,18.15000,-2.9435E-006,1.3808E-008,1.5506E-006,9.634E-009,1.5506E-006,9.634E-009
325,18.20000,-2.9273E-006,1.3656E-008,1.5421E-006,9.5282E-009,1.5421E-006,9.5282E-009
326,18.25000,-2.9112E-006,1.3506E-008,1.5336E-006,9.4238E-009,1.5336E-006,9.4238E-009
327,18.30000,-2.8952E-006,1.3359E-008,1.5252E-006,9.3208E-009,1.5252E-006,9.3208E-009
328,18.35000,-2.8794E-006,1.3213E-008,1.5168E-006,9.2191E-009,1.5168E-006,9.2191E-009
329,18.40000,-2.8637E-006,1.3069E-008,1.5085E-006,9.1189E-009,1.5085E-006,9.1189E-009
330,18.45000,-2.8482E-006,1.2927E-008,1.5003E-006,0.000000009,1.5003E-006,0.000000009
